vowel,H,K,kH,kK,sH,sK,tH,tK,nH,nK,hH,hK,mH,mK,yH,yK,rH,rK,wH,wK,gH,gK,zH,zK,dH,dK,bH,bK,pH,pK,kyH,kyK,shH,shK,chH,chK,nyH,nyK,hyH,hyK,myH,myK,ryH,ryK,XH,XK
a,あ,ア,か,カ,さ,サ,た,タ,な,ナ,は,ハ,ま,マ,や,ヤ,ら,ラ,わ,ワ,が,ガ,ざ,ザ,だ,ダ,ば,バ,ぱ,パ,きゃ,キャ,しゃ,シャ,ちゃ,チャ,にゃ,ニャ,ひゃ,ヒャ,みゃ,ミャ,りゃ,リャ,,
i,い,イ,き,キ,し,シ,ち,チ,に,ニ,ひ,ヒ,み,ミ,,,り,リ,,,ぎ,ギ,じ,ジ,ぢ,ヂ,び,ビ,ぴ,ピ,,,,,,,,,,,,,,,,
u,う,ウ,く,ク,す,ス,つ,ツ,ぬ,ヌ,ふ,フ,む,ム,ゆ,ユ,る,ル,,,ぐ,グ,ず,ズ,づ,ヅ,ぶ,ブ,ぷ,プ,きゅ,キュ,しゅ,シュ,ちゅ,チュ,にゅ,ニュ,ひゅ,ヒュ,みゅ,ミュ,りゅ,リュ,,
e,え,エ,け,ケ,せ,セ,て,テ,ね,ネ,へ,ヘ,め,メ,,,れ,レ,,,げ,ゲ,ぜ,ゼ,で,デ,べ,ベ,ぺ,ペ,,,,,,,,,,,,,,,,
o,お,オ,こ,コ,そ,ソ,と,ト,の,ノ,ほ,ホ,も,モ,よ,ヨ,ろ,ロ,を,ヲ,ご,ゴ,ぞ,ゾ,ど,ド,ぼ,ボ,ぽ,ポ,きょ,キョ,しょ,ショ,ちょ,チョ,にょ,ニョ,ひょ,ヒョ,みょ,ミョ,りょ,リョ,ん,ン
